Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760653355,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760653356,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760653357,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760653358,150,,Aggregated,0.000000,0.000000,2400,2500,2500,2500,2500,2600,2600,2600,2600,2600,2600,17,0,2400.0,2226.542664705823,346.7435000002297,2551.564600000347,693.0588235294117
1760653359,150,,Aggregated,0.000000,0.000000,2400,2500,2500,2500,2500,2600,2600,2600,2600,2600,2600,17,0,2400.0,2226.542664705823,346.7435000002297,2551.564600000347,693.0588235294117
1760653360,150,,Aggregated,0.000000,0.000000,2500,2700,4500,4500,4700,4700,4800,4800,4800,4800,4800,35,0,2500.0,2732.9995742856872,250.21469999956025,4816.680999999335,683.6571428571428
1760653361,150,,Aggregated,4.250000,0.000000,2500,2600,2800,4500,4700,4700,4800,4800,4800,4800,4800,37,0,2500.0,2598.6079297296806,245.83569999958854,4816.680999999335,665.2702702702703
1760653362,150,,Aggregated,3.400000,0.000000,2700,4700,6500,6600,6600,6800,6800,6900,6900,6900,6900,54,0,2600.0,3638.9447185184604,245.83569999958854,6940.3339000000415,669.1481481481482
1760653364,150,,Aggregated,5.833333,0.000000,2700,4700,6600,6600,6700,6800,6900,7900,7900,7900,7900,55,0,2700.0,3715.889470909033,245.83569999958854,7870.9060999999565,670.4
1760653365,150,,Aggregated,5.285714,0.000000,4600,6600,6700,6900,7900,8600,8700,8700,8700,8700,8700,68,0,4500.0,4437.7940764705345,245.83569999958854,8735.765800000081,677.8529411764706
1760653366,150,,Aggregated,6.750000,0.000000,4500,6600,6700,7500,7900,8700,8700,8800,8800,8800,8800,74,0,4500.0,4337.932425675618,245.83569999958854,8794.487199999821,661.4324324324324
1760653367,150,,Aggregated,6.111111,0.000000,4700,6800,7900,8600,9800,9900,10000,10000,10000,10000,10000,92,0,4700.0,4991.558451086891,241.61439999988943,10032.980800000587,653.7608695652174
1760653368,150,,Aggregated,6.800000,0.000000,4700,6700,7900,8600,9800,10000,10000,10000,10000,10000,10000,98,0,4600.0,4807.403052040755,226.7640999998548,10169.837800000096,638.7857142857143
1760653369,150,,Aggregated,9.200000,0.000000,6500,7900,8800,9800,12000,12000,12000,12000,12000,12000,12000,114,0,6500.0,5498.1081947367975,226.7640999998548,12085.872799999379,635.6140350877193
1760653370,150,,Aggregated,9.200000,0.000000,6500,7900,9100,9800,12000,12000,12000,12000,12000,12000,12000,118,0,6500.0,5531.137494067762,226.7640999998548,12217.645700000503,632.4237288135594
1760653371,150,,Aggregated,9.200000,0.000000,6600,8700,9900,11000,12000,13000,14000,14000,15000,15000,15000,132,0,6600.0,6188.159762878772,226.7640999998548,15142.413399999896,637.939393939394
1760653372,150,,Aggregated,9.200000,0.000000,6600,8700,9900,12000,13000,13000,14000,15000,15000,15000,15000,141,0,6600.0,6106.324920567357,226.7640999998548,15360.599999999977,627.6099290780141
1760653373,150,,Aggregated,9.200000,0.000000,6600,9700,12000,12000,14000,15000,15000,17000,17000,17000,17000,151,0,6600.0,6721.805364238399,226.7640999998548,17175.23859999983,635.2119205298013
1760653374,150,,Aggregated,9.200000,0.000000,6700,9800,12000,12000,15000,15000,17000,17000,17000,17000,17000,157,0,6700.0,6981.642226751578,216.56810000058613,17417.591399999765,636.7515923566879
