Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760653644,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760653645,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760653646,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760653647,150,,Aggregated,0.000000,0.000000,2400,2600,2700,2700,2700,2700,2700,2700,2700,2700,2700,19,0,2400.0,2068.791615789403,256.86810000024707,2713.60519999962,655.8421052631579
1760653648,150,,Aggregated,0.000000,0.000000,2400,2600,2700,2700,2700,2700,2700,2700,2700,2700,2700,19,0,2400.0,2068.791615789403,256.86810000024707,2713.60519999962,655.8421052631579
1760653649,150,,Aggregated,3.000000,0.000000,2700,2800,4300,4500,4600,4800,4900,4900,4900,4900,4900,38,0,2600.0,2667.012071052604,251.9882000005964,4872.275600000648,642.5263157894736
1760653650,150,,Aggregated,3.000000,0.000000,2600,2700,4300,4500,4600,4800,4900,4900,4900,4900,4900,40,0,2600.0,2546.131422499979,240.20839999957388,4872.275600000648,627.55
1760653651,150,,Aggregated,5.400000,0.000000,2700,4600,6300,6500,6800,6900,7000,7000,7000,7000,7000,58,0,2700.0,3498.943674137943,240.20839999957388,6963.39050000006,637.3620689655172
1760653652,150,,Aggregated,6.666667,0.000000,2700,4500,4900,6500,6700,6800,7000,7000,7000,7000,7000,61,0,2700.0,3339.480631147573,240.20839999957388,6963.39050000006,622.8852459016393
1760653653,150,,Aggregated,6.428571,0.000000,4300,6500,6800,7000,7900,8000,8300,8600,8600,8600,8600,75,0,4300.0,4097.49577066672,240.20839999957388,8623.698899999908,639.4533333333334
1760653654,150,,Aggregated,7.500000,0.000000,4300,6500,6800,7000,7900,8100,8300,8600,8600,8600,8600,81,0,4300.0,4011.549903703748,240.20839999957388,8623.698899999908,620.8888888888889
1760653655,150,,Aggregated,7.111111,0.000000,4500,6700,7600,7900,9200,9600,9800,9900,9900,9900,9900,90,0,4500.0,4571.96358222226,240.20839999957388,9890.937600000143,632.8
1760653656,150,,Aggregated,7.111111,0.000000,4600,6900,7900,8100,9800,10000,10000,10000,10000,10000,10000,97,0,4600.0,4873.781826804147,240.20839999957388,10154.814199999237,636.4432989690722
1760653657,150,,Aggregated,8.400000,0.000000,6300,7800,8300,9600,10000,12000,12000,12000,12000,12000,12000,110,0,4900.0,5371.308743636389,184.19540000013512,12069.187399999464,637.8818181818182
1760653658,150,,Aggregated,8.400000,0.000000,6400,7800,9200,9800,12000,12000,12000,12000,12000,12000,12000,118,0,6300.0,5532.33906355934,184.19540000013512,12241.582200000266,632.4406779661017
1760653659,150,,Aggregated,9.000000,0.000000,6600,8000,9800,10000,12000,13000,14000,14000,14000,14000,14000,130,0,6500.0,5945.031310769243,184.19540000013512,13748.812000000726,633.3538461538461
1760653660,150,,Aggregated,9.900000,0.000000,6700,8300,10000,12000,13000,13000,14000,14000,14000,14000,14000,138,0,6700.0,6182.72548333335,184.19540000013512,13748.812000000726,631.9782608695652
1760653661,150,,Aggregated,9.600000,0.000000,6800,9500,11000,12000,13000,14000,15000,15000,15000,15000,15000,144,0,6700.0,6535.3979500000105,184.19540000013512,14755.079999999907,636.6041666666666
1760653662,150,,Aggregated,9.600000,0.000000,7000,9900,12000,13000,15000,15000,16000,17000,17000,17000,17000,155,1,7000.0,7086.931580000027,184.19540000013512,17364.53530000017,637.0
1760653663,150,,Aggregated,9.500000,0.000000,7600,10000,12000,13000,15000,17000,17000,17000,17000,17000,17000,167,1,7600.0,7490.818574251518,184.19540000013512,17364.53530000017,633.4550898203593
1760653664,150,,Aggregated,9.500000,0.100000,8900,12000,13000,14000,16000,17000,17000,18000,20000,20000,20000,275,1,8900.0,8626.99857345457,184.19540000013512,19565.38089999958,431.6109090909091
1760653665,150,,Aggregated,9.500000,0.100000,7900,11000,13000,14000,17000,17000,20000,20000,21000,21000,21000,337,1,7900.0,8034.182847477761,167.66890000053536,21021.27819999987,396.82789317507417
1760653666,150,,Aggregated,14.000000,0.100000,5200,9600,12000,13000,16000,17000,20000,20000,21000,21000,21000,413,1,5200.0,6763.525636077502,167.66890000053536,21021.27819999987,350.94673123486683
1760653667,150,,Aggregated,21.900000,0.100000,3400,8600,11000,13000,15000,17000,19000,20000,21000,21000,21000,479,1,3400.0,5873.648891440521,167.66890000053536,21021.27819999987,320.21294363256783
1760653668,150,,Aggregated,26.000000,0.100000,2600,7700,10000,12000,15000,17000,19000,20000,21000,21000,21000,515,1,2600.0,5486.53577339808,167.66890000053536,21021.27819999987,308.54757281553395
1760653669,150,,Aggregated,34.300000,0.100000,680,6300,9200,11000,15000,17000,19000,20000,21000,21000,21000,596,1,660.0,4799.4173456375975,167.66890000053536,21021.27819999987,285.4563758389262
