Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,25,0,8,8.263335200017536,4.26720500013289,11.022171000149683,939.0,0.17722741200146602,0.0,8,9,9,10,11,11,11,11,11,11,11
GET,GET /superadmin/alerts,109,0,26,27.17048438534713,21.975530999952753,40.03137100016829,405613.7889908257,0.7727115163263918,0.0,26,28,29,29,33,36,39,40,40,40,40
GET,GET /superadmin/audit,109,0,10,11.783124908273281,8.213199000238092,77.89061400012542,79864.77981651376,0.7727115163263918,0.0,10,11,12,12,14,16,31,43,78,78,78
GET,GET /superadmin/content,125,0,6,7.327514903976407,5.217326000092726,27.35755000003337,9453.792,0.8861370600073301,0.0,6,7,8,8,10,11,14,17,27,27,27
GET,GET /superadmin/dashboard,660,0,8,9.698738116681701,6.285853999997926,89.81600699985393,21624.27878787879,4.678803676838703,0.0,8,9,9,10,12,19,25,31,90,90,90
GET,GET /superadmin/dashboard/export?format=csv,172,0,11,11.414365197671762,8.832012999846484,22.708562999923743,3501.5813953488373,1.2193245945700861,0.0,11,11,12,13,14,16,17,18,23,23,23
GET,GET /superadmin/organizations,100,0,5,5.195566829984273,3.6063869997633446,28.44890000005762,5683.24,0.7089096480058641,0.0,5,5,5,5,7,8,9,28,28,28,28
GET,GET /superadmin/patients,110,0,6,6.152488609113376,4.603307999786921,21.86133800000789,12446.7,0.7798006128064504,0.0,6,6,6,6,8,9,12,12,22,22,22
GET,GET /superadmin/settings/system,101,0,4,4.831100544548138,3.7293899999895075,12.223589999848627,6418.990099009901,0.7159987444859227,0.0,4,5,5,5,6,7,9,10,12,12,12
GET,GET /superadmin/users,129,0,17,20.554243852718503,13.664721000168356,54.917449999948076,183634.4496124031,0.9144934459275647,0.0,17,19,21,23,35,42,46,48,55,55,55
POST,POST /login,25,0,200.0,203.65507707998404,183.8352180000129,263.4888749998936,0.0,0.17722741200146602,0.0,200,200,200,210,230,230,260,260,260,260,260
POST,POST /superadmin/users/:id/status,162,0,11,12.331878012348147,9.004716000163171,62.42258500014941,0.0,1.1484336297694997,0.0,11,12,12,13,14,16,20,29,62,62,62
,Aggregated,1827,0,9,13.77001331910921,3.6063869997633446,263.4888749998936,52146.295566502464,12.951779269067137,0.0,9,11,12,14,23,28,43,190,230,260,260
