Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,370,70,56,97.00362408646563,17.927093999787758,425.8897270001398,763.4324324324324,0.7904299833733044,0.14954080766521977,56,67,86,100,280,350,400,420,430,430,430
GET,GET /superadmin/alerts,2455,0,33,76.14396865091562,19.347945999925287,2642.488788999799,405603.8464358452,5.244609754544493,0.0,33,39,43,47,62,92,680,1700,2500,2600,2600
GET,GET /superadmin/audit,2477,0,13,30.118163238592203,4.966019999756099,1311.6017209999882,79569.67137666533,5.291608294096419,0.0,13,15,17,19,26,34,270,690,1300,1300,1300
GET,GET /superadmin/content,2452,0,8,37.041317321777285,4.16541499998857,1912.7688849998776,9460.958401305057,5.238200862787412,0.0,8,10,13,15,22,38,460,1100,1800,1900,1900
GET,GET /superadmin/dashboard,14804,3864,10,44.150186592676924,1.1369290000402543,2257.598381999742,15986.766549581194,31.62574452394162,8.25465258312013,10,14,17,20,35,68,700,1100,2000,2100,2300
GET,GET /superadmin/dashboard/export?format=csv,4019,0,15,52.888219206266676,8.19578399978127,2042.98695100033,3503.0032346354815,8.585778657235975,0.0,15,18,22,25,37,64,910,1300,1900,2000,2000
GET,GET /superadmin/organizations,2534,0,6,27.78443055801635,2.84627700011697,1370.3739170000517,5692.05998421468,5.4133772374809555,0.0,6,7,9,11,18,31,490,780,1200,1400,1400
GET,GET /superadmin/patients,2534,0,7,42.7608192304578,3.6861009998574445,1906.5061339997555,12446.57221783741,5.4133772374809555,0.0,7,9,11,13,21,35,760,1200,1900,1900,1900
GET,GET /superadmin/settings/system,2434,0,5,28.929989065732304,2.841479999915464,1353.3104769999227,6418.13393590797,5.199747512244927,0.0,5,7,9,11,17,33,460,830,1300,1400,1400
GET,GET /superadmin/users,2810,64,21,83.07273670426906,2.0684300002358214,1649.4953100000203,179459.96085409253,6.002995279132393,0.13672302415105805,21,26,31,37,230,450,940,1000,1400,1600,1600
POST,POST /login,300,0,1200.0,1037.3166877533188,201.47025299957022,1473.1254009998338,0.0,0.6408891757080847,0.0,1200,1300,1300,1300,1400,1400,1400,1500,1500,1500,1500
POST,POST /superadmin/users/:id/status,3899,0,13,32.80038505437022,7.644596999853093,1450.3202770001735,0.0,8.329422986952741,0.0,13,15,17,19,26,35,380,790,1400,1500,1500
,Aggregated,41088,3998,12,52.96206322563488,1.1369290000402543,2642.488788999799,49477.86319606698,87.77618150497928,8.540916414936408,12,16,21,25,41,120,850,1200,1900,2500,2600
