Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,120,0,12,12.64808451665355,4.307920999963244,34.44726999987324,939.0,0.43868777138695303,0.0,12,14,15,16,19,22,31,33,34,34,34
GET,GET /superadmin/alerts,505,0,28,33.834418944556234,20.27515100007804,378.1081759998415,405604.27722772275,1.8461443712534273,0.0,28,30,32,33,39,51,150,190,380,380,380
GET,GET /superadmin/audit,490,0,11,15.126891516328381,7.853494999835675,440.7574739998381,80778.36530612245,1.7913083998300583,0.0,11,12,13,14,18,22,60,69,440,440,440
GET,GET /superadmin/content,515,0,7,12.058785306789042,4.593414999817469,393.44674399990254,9459.6,1.8827016855356735,0.0,7,8,9,9,13,21,69,130,390,390,390
GET,GET /superadmin/dashboard,2924,12,10,17.413179183656595,1.6932399998950132,458.5596219999388,21546.194254445963,10.689358696128757,0.0438687771386953,10,11,13,14,20,50,110,160,390,460,460
GET,GET /superadmin/dashboard/export?format=csv,791,0,12,18.881687826811966,9.889644000395492,362.1028910001769,3505.4690265486724,2.8916835597256654,0.0,12,14,15,16,19,24,93,270,360,360,360
GET,GET /superadmin/organizations,487,0,5,8.896534568797417,3.2596879996162897,296.25241000030655,5686.490759753593,1.7803412055453844,0.0,5,5,6,7,10,13,63,150,300,300,300
GET,GET /superadmin/patients,469,0,6,10.947211121533064,4.0132989997800905,361.80498400017314,12445.558635394456,1.7145380398373415,0.0,6,6,7,8,10,14,77,210,360,360,360
GET,GET /superadmin/settings/system,485,0,5,9.993155251557011,3.191779999724531,368.2482389999677,6416.129896907217,1.7730297426889352,0.0,5,5,6,6,8,12,100,220,370,370,370
GET,GET /superadmin/users,630,0,18,26.731324382546433,12.786616000084905,170.71869799974593,183634.326984127,2.3031107997815035,0.0,18,21,25,31,57,75,95,110,170,170,170
POST,POST /login,120,0,270.0,300.2258172166914,126.1473310000838,473.9683090001563,0.0,0.43868777138695303,0.0,270,390,410,410,430,440,450,460,470,470,470
POST,POST /superadmin/users/:id/status,785,0,11,17.410300564324352,8.617413000138185,402.8332689999843,0.0,2.8697491711563177,0.0,11,12,13,14,17,22,86,230,400,400,400
,Aggregated,8321,12,11,21.503017306456876,1.6932399998950132,473.9683090001563,53188.02643912991,30.41934121425697,0.0438687771386953,11,13,15,17,28,62,190,300,440,470,470
