Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,60,0,10,10.558615700021315,5.31909400024233,21.873839999898337,939.0,0.46066474468093016,0.0,10,11,12,13,17,18,20,22,22,22,22
GET,GET /superadmin/alerts,266,0,27,29.97065766919006,20.347607000076096,152.18145600010757,405603.55639097746,2.042280368085457,0.0,27,30,32,33,38,43,66,92,150,150,150
GET,GET /superadmin/audit,279,0,10,13.482599422948097,7.891693000146915,198.59770199991544,80501.44444444444,2.142091062766325,0.0,10,12,13,14,16,17,36,150,200,200,200
GET,GET /superadmin/content,258,0,7,8.334606364332448,5.039221000060934,77.59121499975663,9452.744186046511,1.9808584021279998,0.0,7,8,9,9,10,12,17,51,78,78,78
GET,GET /superadmin/dashboard,1425,0,9,11.991942383157724,6.394258999989688,194.47679999984757,21623.558596491228,10.940787686172092,0.0,9,10,11,11,15,31,48,71,180,190,190
GET,GET /superadmin/dashboard/export?format=csv,255,0,11,13.014665721557856,8.642912000141223,163.04990700018607,3503.6470588235293,1.9578251648939533,0.0,11,12,13,14,16,19,28,40,160,160,160
GET,GET /superadmin/organizations,263,0,5,6.272453707218815,3.3302830001957773,146.06640500005597,5683.0342205323195,2.0192471308514106,0.0,5,5,5,6,8,10,15,51,150,150,150
GET,GET /superadmin/patients,277,0,6,7.9272962274401895,4.2807059999177,172.90936700010207,12438.808664259928,2.126735571276961,0.0,6,6,7,7,9,12,25,41,170,170,170
GET,GET /superadmin/settings/system,276,0,5,6.159061942043266,3.218477999780589,65.99712899969745,6413.0,2.1190578255322787,0.0,5,5,6,6,9,13,22,37,66,66,66
GET,GET /superadmin/users,330,0,18,24.079884745449156,12.972085999990668,167.8692969999247,183631.03333333333,2.533656095745116,0.0,18,20,23,30,45,55,69,72,170,170,170
POST,POST /login,60,0,240.0,240.08874851671558,141.66529700014507,318.4707610002988,0.0,0.46066474468093016,0.0,240,250,260,260,270,270,300,320,320,320,320
POST,POST /superadmin/users/:id/status,262,0,11,12.351770816783283,9.219124000082957,37.61282899995422,0.0,2.0115693851067284,0.0,11,12,13,13,15,17,20,36,38,38,38
,Aggregated,4011,0,9,16.469262409624758,3.218477999780589,318.4707610002988,57806.28646222887,30.795438181920183,0.0,9,11,14,16,27,39,93,230,270,320,320
