Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760649916,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760649917,6,,Aggregated,0.000000,0.000000,33,41,49,220,220,220,260,260,260,260,260,30,0,33,66.35558880005495,5.964349000350921,263.3912720002627,44560.2
1760649918,12,,Aggregated,0.000000,0.000000,33,41,50,66,240,250,260,270,270,270,270,63,0,33,67.38393119051594,5.964349000350921,273.1574710001041,61282.47619047619
1760649919,18,,Aggregated,0.000000,0.000000,34,43,55,66,240,250,260,270,270,270,270,96,0,34,67.83714989585594,4.4112790001236135,273.1574710001041,64338.645833333336
1760649920,24,,Aggregated,30.000000,0.000000,34,43,51,61,240,250,250,260,270,270,270,134,0,33,65.55212680599136,4.4112790001236135,273.1574710001041,62885.17164179104
1760649921,30,,Aggregated,31.500000,0.000000,34,45,56,72,240,250,260,270,270,270,270,174,0,34,67.08878063221258,4.4112790001236135,273.1574710001041,57652.10344827586
1760649922,36,,Aggregated,33.500000,0.000000,33,44,55,69,240,250,260,270,270,270,270,219,0,33,63.68432164385278,4.4112790001236135,273.1574710001041,55795.6803652968
1760649923,42,,Aggregated,34.800000,0.000000,32,44,55,72,240,250,260,270,270,270,270,264,0,32,64.65683867046988,4.4112790001236135,273.1574710001041,53221.579545454544
1760649924,48,,Aggregated,36.166667,0.000000,32,43,55,72,230,250,260,270,300,300,300,316,0,32,63.67039841773223,4.4112790001236135,296.982129999833,52551.38291139241
1760649925,54,,Aggregated,37.428571,0.000000,33,47,64,92,220,250,260,270,320,320,320,368,0,33,64.62980361141653,4.4112790001236135,318.4707610002988,55467.42391304348
1760649926,60,,Aggregated,39.375000,0.000000,33,46,59,80,220,250,260,270,320,320,320,426,0,33,63.4014717183144,3.8743169998269877,318.4707610002988,52883.772300469485
1760649927,60,,Aggregated,40.777778,0.000000,31,43,56,72,220,250,260,270,320,320,320,451,0,31,60.39168971840722,3.657710999959818,318.4707610002988,52284.63636363636
1760649928,60,,Aggregated,42.200000,0.000000,28,42,51,67,220,250,260,270,320,320,320,481,0,28,57.27988487942242,3.657710999959818,318.4707610002988,52639.112266112264
1760649929,60,,Aggregated,41.900000,0.000000,23,40,50,63,210,250,260,270,320,320,320,513,0,23,54.2892091598439,3.3625030000621337,318.4707610002988,52297.994152046784
