Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,5,0,4,5.0291757998820685,3.0434699997385906,8.993906999876344,939.0,0.045431201492492884,0.0,4,6,6,9,9,9,9,9,9,9,9
GET,GET /superadmin/alerts,12,0,25,25.95111475007646,23.645312000098784,28.83834800013574,405591.6666666667,0.10903488358198293,0.0,27,27,27,27,28,29,29,29,29,29,29
GET,GET /superadmin/audit,7,0,11,10.507438000006784,9.536767000099644,11.257859000124881,80088.0,0.06360368208949005,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,GET /superadmin/content,5,0,7,6.692003400075919,5.998821000048338,7.579396999972232,9442.0,0.045431201492492884,0.0,7,7,7,8,8,8,8,8,8,8,8
GET,GET /superadmin/dashboard,144,0,8,8.854882138886447,6.607471999814152,17.435202000342542,21586.722222222223,1.3084186029837952,0.0,8,9,9,9,11,12,15,15,17,17,17
GET,GET /superadmin/organizations,3,0,5,5.598686999898443,4.564082999877428,6.835654000042268,5674.0,0.027258720895495733,0.0,5,5,7,7,7,7,7,7,7,7,7
GET,GET /superadmin/patients,6,0,6,5.871662666625828,5.640328000026784,6.606251999983215,12429.0,0.05451744179099147,0.0,6,6,6,6,7,7,7,7,7,7,7
GET,GET /superadmin/settings/system,6,0,4.253747999882762,4.770428499947836,4.253747999882762,5.652713000017684,6402.0,0.05451744179099147,0.0,5,5,5,5,6,6,6,6,6,6,6
GET,GET /superadmin/users,13,0,17,18.734479846163875,13.401609000084136,34.34999199998856,183622.0,0.1181211238804815,0.0,17,17,18,21,28,34,34,34,34,34,34
POST,POST /login,5,0,92,89.5962653999959,82.76880800030995,92.98444299975017,0.0,0.045431201492492884,0.0,92,92,92,93,93,93,93,93,93,93,93
,Aggregated,206,0,8,12.091517184464323,3.0434699997385906,92.98444299975017,53908.75242718447,1.8717655014907069,0.0,8,9,10,12,18,27,83,92,93,93,93
