Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,40,0,4,4.321843799959879,2.666864999810059,7.1506760000374925,939.0,0.06440529987610054,0.0,4,5,5,5,6,7,7,7,7,7,7
GET,GET /superadmin/alerts,744,0,26,26.595082552426703,19.823878000352124,50.71250600030908,405601.49731182796,1.1979385776954699,0.0,26,27,29,30,32,35,38,42,51,51,51
GET,GET /superadmin/audit,780,0,10,11.100316444878025,7.940297999994073,32.884357000511955,80647.93076923076,1.2559033475839603,0.0,10,11,12,13,15,16,19,23,33,33,33
GET,GET /superadmin/content,788,0,6,6.964628663707989,4.62195399995835,21.683439999833354,9456.573604060914,1.2687844075591805,0.0,6,7,7,8,9,11,13,15,22,22,22
GET,GET /superadmin/dashboard,4443,0,13,13.369744701547797,9.851441999671806,85.38629199983916,21631.45734863831,7.153818683737867,0.0,13,13,14,14,16,18,22,25,51,85,85
GET,GET /superadmin/dashboard/export?format=csv,1248,0,15,15.59373296956032,11.818791000223428,43.41882300013822,3504.963141025641,2.0094453561343366,0.0,15,16,16,17,19,20,23,25,37,43,43
GET,GET /superadmin/organizations,738,0,4,4.930539321161494,3.1511770002907724,33.418373000131396,5693.421409214092,1.1882777827140547,0.0,4,5,5,5,7,8,9,11,33,33,33
GET,GET /superadmin/patients,733,0,6,6.12123090448254,3.8978950001364865,62.09772900001553,12444.56207366985,1.1802271202295422,0.0,6,6,6,7,8,9,11,14,62,62,62
GET,GET /superadmin/settings/system,718,0,4,4.902625820320552,2.9686730003959383,24.402866999480466,6414.486072423399,1.1560751327760046,0.0,4,5,5,5,6,8,10,11,24,24,24
GET,GET /superadmin/users,807,0,16,17.2627938215703,12.951177000104508,69.57511200016597,183638.87484510534,1.2993769250003282,0.0,16,18,19,19,22,24,26,30,70,70,70
POST,POST /login,40,0,82,83.7140887249916,77.56901699985974,102.43332199979704,0.0,0.06440529987610054,0.0,82,85,87,88,90,100,100,100,100,100,100
POST,POST /superadmin/users/:id/status,1244,0,11,11.676131809473933,8.819678999316238,44.3754920001993,0.0,2.0030048261467264,0.0,11,12,12,13,14,15,18,21,29,44,44
,Aggregated,12323,0,12,12.693270760771258,2.666864999810059,102.43332199979704,51835.65535989613,19.841662759329672,0.0,12,14,15,15,19,25,29,33,86,100,100
