Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /login,40,0,7,6.970537349968708,3.975631999765028,13.574650999998994,939.0,0.24361767623480135,0.0,7,8,8,8,8,10,14,14,14,14,14
GET,GET /superadmin/alerts,73,0,25,27.333314876645314,20.929446000081953,115.42753599997013,405913.01369863015,0.4446022591285125,0.0,25,27,28,29,31,35,38,120,120,120,120
GET,GET /superadmin/audit,64,0,10,11.30061729688947,8.366877999833378,20.485817000007955,83780.03125,0.38978828197568216,0.0,10,11,12,13,15,17,19,20,20,20,20
GET,GET /superadmin/content,71,0,7,6.848565267626353,5.03985500017734,12.276481999833777,9768.661971830987,0.43242137531677244,0.0,7,7,7,7,9,11,11,12,12,12,12
GET,GET /superadmin/dashboard,119,0,10,14.702230462166842,7.17913900007261,115.71879800021634,21852.831932773108,0.724762586798534,0.0,10,13,19,21,26,35,40,40,120,120,120
GET,GET /superadmin/dashboard/export?format=csv,327,0,12,12.37386055963002,8.992956999918533,129.69505300043238,3547.565749235474,1.9915745032195011,0.0,12,12,13,13,14,16,19,24,130,130,130
GET,GET /superadmin/organizations,84,0,5,5.094554761886424,3.1432249998033512,13.555566999912116,5953.583333333333,0.5115971200930829,0.0,5,5,5,6,6,8,9,14,14,14,14
GET,GET /superadmin/patients,81,0,6,6.229803962980194,4.495436000070185,15.69222299985995,12710.432098765432,0.49332579437547275,0.0,6,6,7,7,8,8,13,16,16,16,16
GET,GET /superadmin/settings/system,82,0,5,5.145776329255768,3.3833130000857636,15.828565999981947,6765.390243902439,0.4994162362813428,0.0,5,5,5,5,7,8,15,16,16,16,16
GET,GET /superadmin/users,111,0,19,22.20552705405164,13.461971999731759,47.48618700023144,183836.2972972973,0.6760390515515737,0.0,19,23,28,32,36,38,42,42,47,47,47
POST,POST /login,40,0,160.0,160.65505449997772,130.8006959998238,206.14499099974637,0.0,0.24361767623480135,0.0,160,160,170,170,180,180,210,210,210,210,210
POST,POST /superadmin/roles/users/:id,983,0,5,5.6298149949146294,3.403903000162245,157.46353399981672,0.0,5.986904393470243,0.0,5,5,5,6,7,8,10,15,160,160,160
POST,POST /superadmin/users/:id/status,1256,0,11,12.454869313697747,8.515473999977985,127.26685699999507,0.0,7.649595033772763,0.0,11,12,12,13,14,17,23,35,120,130,130
,Aggregated,3331,0,10,12.219276196336336,3.1432249998033512,206.14499099974637,18605.66946862804,20.287261988453082,0.0,10,11,12,12,16,24,38,150,180,210,210
