Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760665536,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760665537,10,,Aggregated,0.000000,0.000000,910,910,920,920,920,920,920,920,920,920,920,4,0,550.0,730.4456980018585,542.0678749942454,919.174541006214,716.25
1760665538,20,,Aggregated,0.000000,0.000000,1300,1300,1800,1800,1800,1800,1800,1800,1800,1800,1800,8,0,920.0,1135.0174062499718,542.0678749942454,1770.3560829977505,718.625
1760665539,30,,Aggregated,0.000000,0.000000,1600,1800,1900,1900,2100,2300,2300,2300,2300,2300,2300,16,0,1600.0,1463.7438125619155,542.0678749942454,2326.0325830051443,64450.0
1760665540,40,,Aggregated,3.000000,0.000000,1800,2000,2100,2300,2400,2700,2700,2700,2700,2700,2700,22,0,1800.0,1714.1071288179692,542.0678749942454,2749.032416002592,47070.59090909091
1760665541,50,,Aggregated,4.000000,0.000000,2000,2400,2700,2700,3100,3700,3700,3700,3700,3700,3700,28,0,2000.0,2022.9794360363614,542.0678749942454,3677.929709010641,73586.75
1760665542,60,,Aggregated,4.750000,0.000000,2300,2700,3100,3100,3700,3900,3900,3900,3900,3900,3900,34,0,2100.0,2272.5170796774737,542.0678749942454,3851.3181659945985,60727.82352941176
1760665543,70,,Aggregated,4.800000,0.000000,2700,3100,3700,3700,4100,5200,5200,5200,5200,5200,5200,40,0,2400.0,2587.1419239760144,542.0678749942454,5231.018624996068,77239.8
1760665544,80,,Aggregated,5.000000,0.000000,2700,3700,3900,4100,4500,4800,5200,5200,5200,5200,5200,46,0,2700.0,2832.9882889574155,542.0678749942454,5231.018624996068,67258.86956521739
1760665545,90,,Aggregated,5.142857,0.000000,3100,3900,4200,4500,4900,5200,5200,5200,5200,5200,5200,52,0,3100.0,3073.5608630009383,542.0678749942454,5231.018624996068,59581.5
1760665546,100,,Aggregated,5.250000,0.000000,3400,4100,4600,4800,5200,5300,5700,5700,5700,5700,5700,56,0,3100.0,3245.7005811078748,542.0678749942454,5665.267459000461,55376.982142857145
1760665547,100,,Aggregated,5.333333,0.000000,3700,4600,5200,5200,5700,6000,8000,8000,8000,8000,8000,64,0,3700.0,3630.7882513285676,542.0678749942454,7999.491082999157,48534.84375
1760665548,100,,Aggregated,5.400000,0.000000,3900,4900,5300,5700,6100,6900,8000,8000,8000,8000,8000,70,0,3900.0,3879.8850952579023,542.0678749942454,7999.491082999157,44436.77142857143
