Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760666671,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760666672,10,,Aggregated,0.000000,0.000000,940,940,940,940,940,940,940,940,940,940,940,4,0,670.0,801.2643642468902,666.1905829969328,937.0218330004718,716.25
1760666673,20,,Aggregated,0.000000,0.000000,1300,1300,1700,1700,1700,1700,1700,1700,1700,1700,1700,8,0,940.0,1147.4792653752957,666.1905829969328,1685.4553750017658,720.0
1760666674,30,,Aggregated,0.000000,0.000000,1700,1700,1800,1800,2000,2000,2000,2000,2000,2000,2000,12,0,1300.0,1392.0915241663654,666.1905829969328,2038.2330409920542,721.6666666666666
1760666675,40,,Aggregated,3.000000,0.000000,1800,2000,2100,2400,2800,2900,2900,2900,2900,2900,2900,18,0,1700.0,1748.628344831458,666.1905829969328,2864.845250005601,722.6111111111111
1760666676,50,,Aggregated,3.333333,0.000000,2000,2400,2600,2700,2900,3200,3300,3300,3300,3300,3300,22,0,2000.0,1967.547446953011,666.1905829969328,3268.7908749940107,723.8181818181819
1760666677,60,,Aggregated,4.000000,0.000000,2400,2800,3100,3200,3500,3700,3900,3900,3900,3900,3900,28,0,2100.0,2281.376849677534,666.1905829969328,3859.7815839893883,722.8571428571429
1760666678,70,,Aggregated,4.000000,0.000000,2700,3300,3600,3700,4100,5500,5500,5500,5500,5500,5500,35,0,2700.0,2703.439971397997,666.1905829969328,5531.679624997196,688.7428571428571
1760666679,80,,Aggregated,4.333333,0.000000,3000,3600,4000,4100,4700,5500,5500,5500,5500,5500,5500,40,0,2900.0,2927.328520823721,666.1905829969328,5531.679624997196,692.425
1760666680,90,,Aggregated,4.571429,0.000000,3300,4000,4400,4500,4900,5200,5500,5500,5500,5500,5500,46,0,3200.0,3178.3873930857544,666.1905829969328,5531.679624997196,696.304347826087
1760666681,100,,Aggregated,4.750000,0.000000,3600,4400,4800,4900,5500,5700,6000,9000,9000,9000,9000,52,0,3500.0,3519.139003941326,666.1905829969328,9047.682458010968,687.1538461538462
1760666682,100,,Aggregated,4.888889,0.000000,3700,4600,5100,5300,5700,6000,6100,9000,9000,9000,9000,57,0,3700.0,3707.417197279906,666.1905829969328,9047.682458010968,690.3508771929825
1760666683,100,,Aggregated,4.900000,0.000000,4100,4900,5400,5600,6100,6500,6900,9000,9000,9000,9000,63,0,4100.0,3973.044007856053,666.1905829969328,9047.682458010968,693.7301587301587
1760666684,100,,Aggregated,5.500000,0.000000,4400,5200,5700,6000,6500,6800,9000,12000,12000,12000,12000,68,0,4300.0,4234.782459513286,666.1905829969328,11560.241666986258,9163.779411764706
1760666685,100,,Aggregated,5.500000,0.000000,4700,5600,6200,6400,7400,9000,13000,13000,13000,13000,13000,76,0,4600.0,4707.501566327808,666.1905829969328,12521.211709012277,8261.78947368421
1760666686,100,,Aggregated,5.600000,0.000000,4900,6000,6500,6900,7600,8000,13000,13000,13000,13000,13000,82,0,4800.0,4918.267899877164,666.1905829969328,12521.211709012277,7710.231707317073
1760666687,100,,Aggregated,5.600000,0.000000,5200,6100,6800,7200,8000,8700,13000,13000,13000,13000,13000,86,0,5100.0,5085.517802778266,666.1905829969328,12521.211709012277,7385.325581395349
1760666688,100,,Aggregated,5.900000,0.000000,5300,6400,7300,7600,8400,8900,13000,13000,13000,13000,13000,92,0,5300.0,5304.501913912448,666.1905829969328,12521.211709012277,6950.586956521739
1760666689,100,,Aggregated,5.800000,0.000000,5500,6800,7600,8000,8900,9500,13000,13000,13000,13000,13000,98,0,5500.0,5544.494551825795,666.1905829969328,12521.211709012277,6569.163265306122
1760666690,100,,Aggregated,5.800000,0.000000,5700,7100,8000,8400,9200,9600,12000,13000,13000,13000,13000,103,0,5700.0,5740.589629407199,666.1905829969328,12521.211709012277,6285.543689320389
