Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760667469,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760667470,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760667471,20,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,1229.0462910023052,1450.512937255553,1229.0462910023052,1672.5748750031926,721.0
1760667472,30,,Aggregated,0.000000,0.000000,2000,2400,2400,2700,2800,2800,2800,2800,2800,2800,2800,10,0,2000.0,2015.4911125951912,1229.0462910023052,2773.674750002101,720.6
1760667473,40,,Aggregated,0.000000,0.000000,2400,2500,2700,2700,2800,2900,2900,2900,2900,2900,2900,16,0,2100.0,2189.010411495474,1229.0462910023052,2855.587708996609,722.3125
1760667474,50,,Aggregated,2.000000,0.000000,2500,2800,2900,3200,3600,3600,3600,3600,3600,3600,3600,20,0,2400.0,2430.9035895974375,1229.0462910023052,3619.972874992527,723.2
1760667475,60,,Aggregated,3.000000,0.000000,2500,2800,3200,3200,3600,3700,3700,3700,3700,3700,3700,22,0,2500.0,2541.818376905708,1229.0462910023052,3651.845541986404,722.4545454545455
1760667476,70,,Aggregated,3.200000,0.000000,2800,3200,3700,3700,4600,4700,5000,5000,5000,5000,5000,27,0,2800.0,2917.544526254965,1229.0462910023052,4993.530624982668,723.2592592592592
1760667477,80,,Aggregated,3.333333,0.000000,3200,3700,4600,4700,5000,5400,5400,5400,5400,5400,5400,32,0,2900.0,3251.876489559436,1229.0462910023052,5400.839083013125,722.625
1760667478,90,,Aggregated,3.142857,0.000000,3600,4700,5000,5100,5500,5800,5900,5900,5900,5900,5900,38,0,3600.0,3602.911128232862,1229.0462910023052,5859.784083004342,721.8947368421053
1760667479,100,,Aggregated,3.500000,0.000000,4300,5000,5400,5500,5900,6000,6200,6200,6200,6200,6200,44,0,3700.0,3916.723952565173,1229.0462910023052,6223.917208000785,721.9318181818181
1760667480,100,,Aggregated,3.777778,0.000000,4600,5100,5600,5800,6200,6300,6700,6700,6700,6700,6700,48,0,4300.0,4130.734487767768,1229.0462910023052,6690.374415979022,721.6875
